EMBLEM,NAME,QUALITY,TYPE,SLOT,POTENTIAL,HEALTH,ATTACK,DEFENCE,MAGIC,LINK1,LINK2,LINK3,ICONID,GRAPHICID,PASSIVE
NECRO,Soul Eater Jaws,LEGENDARY,DEFENSE,HELM,153,3023,4157,4535,3401,1107,1104,1263,200595,206959,null
NECRO,Soul Eater Carapace,LEGENDARY,MAGIC,CHEST,156,3094,3481,4255,4642,1103,1106,1275,197085,205923,null
NECRO,Soul Eater Runewraps,LEGENDARY,ATTACK,GLOVES,153,4157,4535,3023,3401,1105,1108,1274,198139,206053,null
NECRO,Soul Eater Runeboots,LEGENDARY,DEFENSE,BOOTS,154,3041,4181,4562,3421,1104,1111,1273,204867,208821,null
NECRO,Soul Devourer,LEGENDARY,NONE,MAIN_HAND,160,3165,4353,4748,3561,null,null,null,200927,207127,Restoration Serum
NECRO,Hunger of the Dead,LEGENDARY,NONE,OFF_HAND,160,4353,4748,3165,3561,null,null,null,201331,207333,Mighty Magic
NECRO,Elixir of Vitality,LEGENDARY,MAGIC,TALISMAN,152,3006,3381,4133,4508,1098,1112,1269,205529,208967,null
NECRO,Spellbinder Pendant,LEGENDARY,DEFENSE,NECKLACE,156,3077,4230,4615,3461,1100,1114,1271,196831,205793,null
NECRO,Ring of the Undead,LEGENDARY,ATTACK,RING,156,4255,4642,3094,3481,1099,1113,1270,204581,208691,null
SACRED,Self-sacrifice Ring,LEGENDARY,MAGIC,RING,156,3112,3501,4279,4668,1112,1103,1261,204573,208687,null
SACRED,Star of Transcendence,LEGENDARY,ATTACK,NECKLACE,158,4304,4695,3130,3521,1097,1105,1262,196823,205789,null
SACRED,Sacred Tear,LEGENDARY,DEFENSE,TALISMAN,160,3165,4353,4748,3561,1113,1100,1260,205521,208963,null
SACRED,Sacrosanctus Ward,LEGENDARY,NONE,OFF_HAND,161,3201,3601,4401,4802,null,null,null,201311,207323,Support for Destroyers
SACRED,Divine Intervention,LEGENDARY,NONE,MAIN_HAND,164,3237,4450,4855,3641,null,null,null,200911,207119,Cherry on Top
SACRED,Feet of Immortality,LEGENDARY,ATTACK,BOOTS,153,4157,4535,3023,3401,1114,1099,1264,204859,208817,null
SACRED,Hands of God,LEGENDARY,MAGIC,GLOVES,161,3201,3601,4401,4802,1106,1098,1265,198131,206049,null
SACRED,Archangelic Greatplate,LEGENDARY,DEFENSE,CHEST,164,3219,4426,4828,3621,1108,1097,1266,197077,205919,null
SACRED,Archangelic Gaze,LEGENDARY,DEFENSE,HELM,154,3059,4206,4588,3441,1111,1107,1272,200587,206955,null
DEATH,Armageddon Ward,LEGENDARY,NONE,OFF_HAND,160,3148,3541,4328,4722,null,null,null,201323,207329,Scarlet Seas
DEATH,Sepulcher,LEGENDARY,NONE,MAIN_HAND,165,4499,4908,3272,3681,null,null,null,200919,207123,Artful Dodger
DEATH,Greaves of Doom,LEGENDARY,MAGIC,BOOTS,154,3059,3441,4206,4588,1263,1273,1111,204863,208819,null
